TerminalType,Brand,EPlanPartNumber,VoltageRating,ExtraSpecs,MTorIT,EPlanMacroName,LookupKey
F,PXC,PXC.3211907,120V,120V only,IT,PTerm_F_120_PXC,F|PXC|120V
F,PXC,PXC.3211903,24V,24V  only,IT,PTerm_F_24_PXC,F|PXC|24V
F;L,PXC,PXC.3211892,120V,120V only,MT,PTerm_FL_120_PXC,F;L|PXC|120V
F;L,PXC,PXC.3211888,24V,24V  only,MT,PTerm_FL_24_PXC,F;L|PXC|24V
F;L;P,PXC,PXC.3002605,120V,120V only,MT,PTerm_FLP_120_PXC,F;L;P|PXC|120V
F;L;P,PXC,PXC.3002603,24V,24V  only,MT,PTerm_FLP_24_PXC,F;L;P|PXC|24V
G,PXC,PXC.3209565,120V,,IT,PTerm_L_PXC,G|PXC|120V
G,PXC,PXC.3209565,24V,,IT,PTerm_L_PXC,G|PXC|24V
L,PXC,PXC.3209549,120V,,IT,PTerm_L_PXC,L|PXC|120V
L,PXC,PXC.3209549,24V,,IT,PTerm_L_PXC,L|PXC|24V
L;L,PXC,PXC.3210567,120V,,MT,PTerm_LL_PXC,L;L|PXC|120V
L;L,PXC,PXC.3210567,24V,,MT,PTerm_LL_PXC,L;L|PXC|24V
L;L;G,PXC,PXC.3210541,120V,,MT,PTerm_LLG_PXC,L;L;G|PXC|120V
L;L;G,PXC,PXC.3210541,24V,,MT,PTerm_LLG_PXC,L;L;G|PXC|24V
L;L;L,PXC,PXC.3210499,120V,,MT,PTerm_LLL_PXC,L;L;L|PXC|120V
L;L;L,PXC,PXC.3210499,24V,,MT,PTerm_LLL_PXC,L;L;L|PXC|24V
L;L;L;G,PXC,PXC.1336407,120V,,MT,PTerm_LLLG_PXC,L;L;L;G|PXC|120V
L;L;L;G,PXC,PXC.1336407,24V,,MT,PTerm_LLLG_PXC,L;L;L;G|PXC|24V
T,PXC,MissingPartNumber,24V,,MT,PTerm_T_TE,T|PXC|24V
