I/O Type Specific,Terminal Style,Rung Placement,Labeling Scheme,Notes,Default Standard,Terminal Style Definition,Term Brand,IT or MT,Fusing,Card Power Term L1,Card Power Term L2,Term Short Name
AI-C-3W,Fj&L&Lj&G2|PXC|24V,0&1&2&3,#+&#&#-&#SH,,,Fj&L&Lj&G2|PXC|24V|0&1&2&3|#+&#&#-&#SH,PXC,IT,Fused,No,No,TBD
AI-C-3W,Fj&L&Lj&G2|TE|24V,0&1&2&3,#+&#&#-&#SH,,,Fj&L&Lj&G2|TE|24V|0&1&2&3|#+&#&#-&#SH,TE,IT,Fused,No,No,TBD
AI-C-3W,Fj&L&Lj&G2|WAGO|24V,0&1&2&3,#+&#&#-&#SH,,,Fj&L&Lj&G2|WAGO|24V|0&1&2&3|#+&#&#-&#SH,WAGO,IT,Fused,No,No,TBD
AI-C-3W,Fj;L&Lj&G|PXC|24V,0;1&2&3,#+;#&#-&#SH,,,Fj;L&Lj&G|PXC|24V|0;1&2&3|#+;#&#-&#SH,PXC,MT&IT,Fused,No,No,TBD
AI-C-3W,Fj;L&Lj&G|TE|24V,0;1&2&3,#+;#&#-&#SH,,,Fj;L&Lj&G|TE|24V|0;1&2&3|#+;#&#-&#SH,TE,MT&IT,Fused,No,No,TBD
AI-C-3W,Fj;L&Lj&G|WAGO|24V,0;1&2&3,#+;#&#-&#SH,,,Fj;L&Lj&G|WAGO|24V|0;1&2&3|#+;#&#-&#SH,WAGO,MT&IT,Fused,No,No,TBD
AI-C-3W,Lj;L;G&L2|PXC|24V,0;1;3&2,#+;#;#SH&#-,,,Lj;L;G&L2|PXC|24V|0;1;3&2|#+;#;#SH&#-,PXC,MT&IT,None,No,No,TBD
AI-C-3W,Lj;L;G&L2|TE|24V,0;1;3&2,#+;#;#SH&#-,,,Lj;L;G&L2|TE|24V|0;1;3&2|#+;#;#SH&#-,TE,MT&IT,None,No,No,TBD
AI-C-3W,Lj;L;G&L2|WAGO|24V,0;1;3&2,#+;#;#SH&#-,,,Lj;L;G&L2|WAGO|24V|0;1;3&2|#+;#;#SH&#-,WAGO,MT&IT,None,No,No,TBD
AI-C-3W,Lj;L;G&Lj|PXC|24V,0;1;3&2,#+;#;#SH&#-,,,Lj;L;G&Lj|PXC|24V|0;1;3&2|#+;#;#SH&#-,PXC,MT&IT,None,No,No,TBD
AI-C-3W,Lj;L;G&Lj|TE|24V,0;1;3&2,#+;#;#SH&#-,,,Lj;L;G&Lj|TE|24V|0;1;3&2|#+;#;#SH&#-,TE,MT&IT,None,No,No,TBD
AI-C-3W,Lj;L;G&Lj|WAGO|24V,0;1;3&2,#+;#;#SH&#-,,,Lj;L;G&Lj|WAGO|24V|0;1;3&2|#+;#;#SH&#-,WAGO,MT&IT,None,No,No,TBD
AI-C-3W,Lj;L;Lj&G2|PXC|24V,0;1;2&3,#+;#;#-&SH,,,Lj;L;Lj&G2|PXC|24V|0;1;2&3|#+;#;#-&SH,PXC,MT&IT,None,No,No,TBD
AI-C-3W,Lj;L;Lj&G2|WAGO|24V,0;1;2&3,#+;#;#-&SH,,,Lj;L;Lj&G2|WAGO|24V|0;1;2&3|#+;#;#-&SH,WAGO,MT&IT,None,No,No,TBD
AI-C-3W,,,,,NO TERMINALS,,,,,,,
AI-C-DF,F&L&G|PXC|24V,0&2&3,#+&#-&#SH,,,F&L&G|PXC|24V|0&2&3|#+&#-&#SH,PXC,IT,Fused,No,No,TBD
AI-C-DF,F&L&G|TE|24V,0&2&3,#+&#-&#SH,,,F&L&G|TE|24V|0&2&3|#+&#-&#SH,TE,IT,Fused,No,No,TBD
AI-C-DF,F&L&G|WAGO|24V,0&2&3,#+&#-&#SH,,,F&L&G|WAGO|24V|0&2&3|#+&#-&#SH,WAGO,IT,Fused,No,No,TBD
AI-C-DF,F&L&G2|PXC|24V,0&2&3,#+&#-&#SH,,INTERSTATES F-IT,F&L&G2|PXC|24V|0&2&3|#+&#-&#SH,PXC,IT,Fused,No,No,TBD
