PathNum,Channel,Channel2,Rung,Rung2,YCoord
0,,,,,360
1,,,,,352
2,,,,,344
3,,,,,336
4,T,T,0,0,328
5,0,0,0,0,320
6,0,0,1,1,312
7,0,0,2,2,304
8,0,0,3,3,296
9,1,0,0,4,288
10,1,0,1,5,280
11,1,0,2,6,272
12,1,0,3,7,264
13,2,1,0,0,256
14,2,1,1,1,248
15,2,1,2,2,240
16,2,1,3,3,232
17,3,1,0,4,224
18,3,1,1,5,216
19,3,1,2,6,208
20,3,1,3,7,200
21,4,2,0,0,192
22,4,2,1,1,184
23,4,2,2,2,176
24,4,2,3,3,168
25,5,2,0,4,160
26,5,2,1,5,152
27,5,2,2,6,144
28,5,2,3,7,136
29,6,3,0,0,128
30,6,3,1,1,120
31,6,3,2,2,112
32,6,3,3,3,104
33,7,3,0,4,96
34,7,3,1,5,88
35,7,3,2,6,80
36,7,3,3,7,72
37,B,B,0,0,64
38,,,,,56
39,,,,,48
