Panel,Logical_Rack_Cd,Slot_Cd,Rack_And_Slot,IO_Card_Type_Cd,Rack_Status,EPlan_Card_Typical,Card_Drawing_Number,Terminal_Block,Card_Drawing_Revision_ID,Revision_Order,Revision_Cd,Revision_Desc,Revision_Dt,Drafter_Initials,Engineer_Initials,Is_Hidden,Card_Drawing_File,Point_Cnt,Card_Typical,IO_Card_ID,IO_Slot_ID,IO_Rack_ID,Revision_ID,Site_ID,Username
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,00,R01A:00,1756-L81E,,,401,,36E4EE46-800B-F111-A096-005056BE0E49,1,C,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-L81E-X-X-X-X-X,367DDD3E-3F75-4F44-B7C4-019C4ED23FF8,C9BD10FD-E8F2-4773-934E-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,00,R01A:00,1756-L81E,,,401,,2E435920-800B-F111-A096-005056BE0E49,2,B,IN OFFICE ISSUE,2/17/2026 0:00,DDD,EEE,0,,,AB-56-L81E-X-X-X-X-X,367DDD3E-3F75-4F44-B7C4-019C4ED23FF8,C9BD10FD-E8F2-4773-934E-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,00,R01A:00,1756-L81E,,,401,,7A857BD5-7F0B-F111-A096-005056BE0E49,3,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-L81E-X-X-X-X-X,367DDD3E-3F75-4F44-B7C4-019C4ED23FF8,C9BD10FD-E8F2-4773-934E-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,01,R01A:01,1756-EN2TR,,,402,,37E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-EN2TR-X-X-X-1COM-X,F388444C-BC11-4EAD-AF3E-019C4ED26049,50920818-35C1-4A30-B9E1-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,01,R01A:01,1756-EN2TR,,,402,,7B857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-EN2TR-X-X-X-1COM-X,F388444C-BC11-4EAD-AF3E-019C4ED26049,50920818-35C1-4A30-B9E1-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,02,R01A:02,1756-OF8,,"PN:=""1756-OF8"";CW:=""AO-C"";TS:=""F;L&G2|PXC|24V""",403,TB1A,38E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,8,AB-56-OF8-F-IC-MT-C-X,DF28E449-76BD-43E5-9C5A-019C4ED2A09E,B2030BA3-9646-4101-94EB-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,02,R01A:02,1756-OF8,,"PN:=""1756-OF8"";CW:=""AO-C"";TS:=""F;L&G2|PXC|24V""",403,TB1A,7C857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,8,AB-56-OF8-F-IC-MT-C-X,DF28E449-76BD-43E5-9C5A-019C4ED2A09E,B2030BA3-9646-4101-94EB-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,03,R01A:03,1756-OF8,,"PN:=""1756-OF8"";CW:=""AO-C"";TS:=""F;L&G2|PXC|24V""",404,TB1B,39E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,8,AB-56-OF8-F-IC-MT-C-X,AF1F552A-49D8-4DFD-B983-019C4ED2D90C,14C3446F-32E7-443C-A824-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,03,R01A:03,1756-OF8,,"PN:=""1756-OF8"";CW:=""AO-C"";TS:=""F;L&G2|PXC|24V""",404,TB1B,7D857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,8,AB-56-OF8-F-IC-MT-C-X,AF1F552A-49D8-4DFD-B983-019C4ED2D90C,14C3446F-32E7-443C-A824-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,04,R01A:04,1756-IF16,,"PN:=""1756-IF16"";CW:=""AI-C-LP"";TS:=""Fj;L&G2|PXC|24V""",405,TB1C,3AE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,16,AB-56-IF16-F-IC-MTG-SEC-X,B127DC43-213B-494C-86BE-019C4ED2FA24,2ED5970D-2EAE-41BD-8824-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
