1,UID,Part Brand,Part Number,Category,Part1,Part2,Part3,Part4,Card IO Type,Card Max Channel Count,Card Type Description,EEC IO Address Format,EEC Page Type,EEC Page Count,EEC Channel Density,EEC JMPR Plug Name,EEC PLC Conn Macro Name,FunctionDef,Group #,Channel,Group Start Channel,Group End Channel,FunctionDef Desc,Old Attribute,Default EEC Rung,Notes,connectiondescription,connectionDesignation,I/O Type Specific,Skip PLC Conn,EEC Page,EEC Channel,EEC Rung,EEC PLC Side,EEC JMPR Macro Name,EEC Node JMPR Variant
2,1756-CN2_COMM-1,ALLEN-BRADLEY,1756-CN2,ControlLogix,A-B.1756-CN2,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
3,1756-CN2R_COMM-1,ALLEN-BRADLEY,1756-CN2R,ControlLogix,A-B.1756-CN2R,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
4,1756-CNB_COMM-1,ALLEN-BRADLEY,1756-CNB,ControlLogix,A-B.1756-CNB,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
5,1756-CNBR_COMM-1,ALLEN-BRADLEY,1756-CNBR,ControlLogix,A-B.1756-CNBR,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
6,1756-DHRIO_COMM-1,ALLEN-BRADLEY,1756-DHRIO,ControlLogix,A-B.1756-DHRIO,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
7,1756-DNB_COMM-1,ALLEN-BRADLEY,1756-DNB,ControlLogix,A-B.1756-DNB,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
8,1756-EN2F_COMM-1,ALLEN-BRADLEY,1756-EN2F,ControlLogix,A-B.1756-EN2F,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
9,1756-EN2T_COMM-1,ALLEN-BRADLEY,1756-EN2T,ControlLogix,A-B.1756-EN2T,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
10,1756-EN2TP_COMM-1,ALLEN-BRADLEY,1756-EN2TP,ControlLogix,A-B.1756-EN2TP,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
11,1756-EN2TR_COMM-1,ALLEN-BRADLEY,1756-EN2TR,ControlLogix,A-B.1756-EN2TR,,,,COM,1,,N/A,OUTPUT,1,1,,PLCCon_Right,300/4/1,,,,,"Bus, General",COM,,Dummy data. Update with real Designation,COMM,1,COMM-1,,0,0,0,Right,,
