Part Number,I/O Type Specific,Default Fuse Size,Fuse Size Override,Fuse Size
1756-IA16,DI,1/4A,,1/4A
1756-IA16I,DI,1/4A,,1/4A
1756-IA16I,IDI-J,1/4A,,1/4A
1756-IA16IK,IDI,1/4A,,1/4A
1756-IA16IK,IDI-J,1/4A,,1/4A
1756-IA16K,DI,1/4A,,1/4A
1756-IA32,DI,1/2A,,1/2A
1756-IA32K,DI,1/2A,,1/2A
1756-IA8D,DI,1/4A,,1/4A
1756-IA8DK,DI,1/4A,,1/4A
1756-IB16,DCI,1/4A,,1/4A
1756-IB16D,DCI,1/4A,,1/4A
1756-IB16DK,DCI,1/4A,,1/4A
1756-IB16I,IDCI-SCR,1/4A,,1/4A
1756-IB16I,IDCI-SNK,1/4A,,1/4A
1756-IB16I,IDCI-SNK-J,1/4A,,1/4A
1756-IB16IF,IDCI-SCR,1/4A,,1/4A
1756-IB16IF,IDCI-SNK,1/4A,,1/4A
1756-IB16IF,IDCI-SNK-J,1/4A,,1/4A
1756-IB16IFK,IDCI-SCR,1/4A,,1/4A
1756-IB16IFK,IDCI-SNK,1/4A,,1/4A
1756-IB16IFK,IDCI-SNK-J,1/4A,,1/4A
1756-IB16IK,IDCI-SCR,1/4A,,1/4A
1756-IB16IK,IDCI-SNK,1/4A,,1/4A
1756-IB16IK,IDCI-SNK-J,1/4A,,1/4A
1756-IB16K,DCI,1/4A,,1/4A
1756-IB16S,DCI,1/4A,,1/4A
1756-IB16XT,DCI,1/4A,,1/4A
1756-IB32,DCI,1/4A,,1/4A
1756-IB32K,DCI,1/4A,,1/4A
1756-IB32XT,DCI,1/4A,,1/4A
1756-IC16,DCI-48V,1/4A,,1/4A
1756-IF16,AI-C-DF,1/10A,,1/10A
1756-IF16,AI-C-LP,1/10A,,1/10A
1756-IF16,AI-V-DF,1/10A,,1/10A
1756-IF16,AI-V-LP,1/10A,,1/10A
1756-IF16H,AI-C-DF,1/10A,,1/10A
1756-IF16H,AI-C-LP,1/10A,,1/10A
1756-IF16HK,AI-C-DF,1/10A,,1/10A
1756-IF16HK,AI-C-LP,1/10A,,1/10A
1756-IF16IH,AI-C-DF,1/10A,,1/10A
1756-IF16IH,AI-C-LP,1/10A,,1/10A
1756-IF16IHK,AI-C-DF,1/10A,,1/10A
1756-IF16IHK,AI-C-LP,1/10A,,1/10A
1756-IF16K,AI-C-DF,1/10A,,1/10A
1756-IF16K,AI-C-LP,1/10A,,1/10A
1756-IF16K,AI-V-DF,1/10A,,1/10A
1756-IF16K,AI-V-LP,1/10A,,1/10A
1756-IF6I,AI-C-DF,DISCONTINUED,,DISCONTINUED
1756-IF8,AI-C-DF,1/10A,,1/10A
1756-IF8,AI-C-LP,1/10A,,1/10A
1756-IF8,AI-V-DF,1/10A,,1/10A
1756-IF8,AI-V-LP,1/10A,,1/10A
1756-IF8H,AI-C-DF,1/10A,,1/10A
1756-IF8H,AI-C-LP,1/10A,,1/10A
1756-IF8H,AI-V-DF,1/10A,,1/10A
1756-IF8HK,AI-C-DF,1/10A,,1/10A
1756-IF8HK,AI-C-LP,1/10A,,1/10A
1756-IF8HK,AI-V-DF,1/10A,,1/10A
1756-IF8I,AI-C-DF,1/10A,,1/10A
1756-IF8I,AI-C-LP,1/10A,,1/10A
1756-IF8I,AI-V-DF,1/10A,,1/10A
1756-IF8IH,AI-C-DF,1/10A,,1/10A
1756-IF8IH,AI-C-LP,1/10A,,1/10A
1756-IF8IHK,AI-C-DF,1/10A,,1/10A
1756-IF8IHK,AI-C-LP,1/10A,,1/10A
1756-IF8IK,AI-C-DF,1/10A,,1/10A
1756-IF8IK,AI-C-LP,1/10A,,1/10A
1756-IF8IK,AI-V-DF,1/10A,,1/10A
1756-IF8K,AI-C-DF,1/10A,,1/10A
1756-IF8K,AI-C-LP,1/10A,,1/10A
1756-IF8K,AI-V-DF,1/10A,,1/10A
1756-IF8K,AI-V-LP,1/10A,,1/10A
1756-IG16,DCI-5V-TTL,1/2A,,1/2A
1756-IG16K,DCI-5V-TTL,1/2A,,1/2A
1756-IM16I,IDI-240V,1/4A,,1/4A
1756-IM16I,IDI-240V-J,1/4A,,1/4A
1756-IM16IK,IDI-240V,1/4A,,1/4A
1756-IM16IK,IDI-240V-J,1/4A,,1/4A
1756-IN16,DI-24VAC,1/4A,,1/4A
1756-IN16K,DI-24VAC,1/4A,,1/4A
1756-IR12,AI-RTD2,NF,,NF
1756-IR12,AI-RTD3,NF,,NF
1756-IR12K,AI-RTD2,NF,,NF
1756-IR12K,AI-RTD3,NF,,NF
1756-IR6I,DISCONTINUED,,,0
1756-IRT8I,AI-RTD3,NF,,NF
1756-IRT8I,AI-RTD4,NF,,NF
1756-IRT8I,AI-TC,NF,,NF
1756-IRT8IK,AI-RTD3,NF,,NF
1756-IRT8IK,AI-RTD4,NF,,NF
1756-IRT8IK,AI-TC,NF,,NF
1756-IT16,AI-TC,NF,,NF
1756-IT16K,AI-TC,NF,,NF
1756-IT6I,DISCONTINUED,,,0
1756-IT6I2,DISCONTINUED,,,0
1756-IV16,DCI-SCR,1/4A,,1/4A
1756-IV16K,DCI-SCR,1/4A,,1/4A
1756-IV32,DCI-SCR,1/4A,,1/4A
1756-IV32K,DCI-SCR,1/4A,,1/4A
1756-OA16,DO,1/2A,,1/2A
1756-OA16I,IDO,2A,,2A
1756-OA16I,IDO-J,2A,,2A
1756-OA16IK,IDO,2A,,2A
1756-OA16IK,IDO-J,2A,,2A
1756-OA16K,DO,1/2A,,1/2A
1756-OA8,DO,2A,,2A
1756-OA8D,DO,1A,,1A
