1,Category Manual,Part Number,Category,Notes Line1,Notes Line2,Key Slot,EEC Plug & Socket Name,EEC Macro Name
2,ControlLogix,1756-CFM,,,,0,CARD_LEVEL_KP_S0,KP_1756_MOD
2,ControlLogix,1756-CFM,,,,1,CARD_LEVEL_KP_S1,KP_1756_TB
2,ControlLogix,1756-CFM,,,,2,CARD_LEVEL_KP_S2,KP_1756_MOD
2,ControlLogix,1756-CFM,,,,3,CARD_LEVEL_KP_S3,KP_1756_TB
2,ControlLogix,1756-CFM,,,,4,CARD_LEVEL_KP_S4,KP_1756_MOD
2,ControlLogix,1756-CFM,,,,5,CARD_LEVEL_KP_S5,KP_1756_TB
2,ControlLogix,1756-CFM,,,,6,CARD_LEVEL_KP_S6,KP_1756_TB
2,ControlLogix,1756-CFM,,,,7,CARD_LEVEL_KP_S7,KP_1756_MOD
3,ControlLogix,1756-CFMK,,,,0,CARD_LEVEL_KP_S0,KP_1756_MOD
3,ControlLogix,1756-CFMK,,,,1,CARD_LEVEL_KP_S1,KP_1756_TB
3,ControlLogix,1756-CFMK,,,,2,CARD_LEVEL_KP_S2,KP_1756_MOD
3,ControlLogix,1756-CFMK,,,,3,CARD_LEVEL_KP_S3,KP_1756_TB
3,ControlLogix,1756-CFMK,,,,4,CARD_LEVEL_KP_S4,KP_1756_MOD
3,ControlLogix,1756-CFMK,,,,5,CARD_LEVEL_KP_S5,KP_1756_TB
3,ControlLogix,1756-CFMK,,,,6,CARD_LEVEL_KP_S6,KP_1756_TB
3,ControlLogix,1756-CFMK,,,,7,CARD_LEVEL_KP_S7,KP_1756_MOD
4,ControlLogix,1756-CMEE1Y1,,,,0,CARD_LEVEL_KP_S0,
4,ControlLogix,1756-CMEE1Y1,,,,1,CARD_LEVEL_KP_S1,
4,ControlLogix,1756-CMEE1Y1,,,,2,CARD_LEVEL_KP_S2,
4,ControlLogix,1756-CMEE1Y1,,,,3,CARD_LEVEL_KP_S3,
4,ControlLogix,1756-CMEE1Y1,,,,4,CARD_LEVEL_KP_S4,
4,ControlLogix,1756-CMEE1Y1,,,,5,CARD_LEVEL_KP_S5,
4,ControlLogix,1756-CMEE1Y1,,,,6,CARD_LEVEL_KP_S6,
4,ControlLogix,1756-CMEE1Y1,,,,7,CARD_LEVEL_KP_S7,
5,ControlLogix,1756-CMS1B1,,,,0,CARD_LEVEL_KP_S0,
5,ControlLogix,1756-CMS1B1,,,,1,CARD_LEVEL_KP_S1,
5,ControlLogix,1756-CMS1B1,,,,2,CARD_LEVEL_KP_S2,
5,ControlLogix,1756-CMS1B1,,,,3,CARD_LEVEL_KP_S3,
5,ControlLogix,1756-CMS1B1,,,,4,CARD_LEVEL_KP_S4,
5,ControlLogix,1756-CMS1B1,,,,5,CARD_LEVEL_KP_S5,
