alias,realName,Parent
Page_Card,Construction.ECAD.E104Macros.Page_macros.Page.Page_Card,Page_macros.Page
DCon_2Conn,Construction.ECAD.E104Macros.Window_macros.General.DeviceConnectionPoint.DCon_2Conn,Window_macros.General.DeviceConnectionPoint
PTerm_F_120_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.F.120.PXC.PTerm_F_120_PXC,Window_macros.General.Terminal.F.120.PXC
PTerm_F_120_TE,Construction.ECAD.E104Macros.Window_macros.General.Terminal.F.120.TE.PTerm_F_120_TE,Window_macros.General.Terminal.F.120.TE
PTerm_F_120_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.F.120.WAGO.PTerm_F_120_WAGO,Window_macros.General.Terminal.F.120.WAGO
PTerm_F_24_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.F.24.PXC.PTerm_F_24_PXC,Window_macros.General.Terminal.F.24.PXC
PTerm_F_24_TE,Construction.ECAD.E104Macros.Window_macros.General.Terminal.F.24.TE.PTerm_F_24_TE,Window_macros.General.Terminal.F.24.TE
PTerm_F_24_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.F.24.WAGO.PTerm_F_24_WAGO,Window_macros.General.Terminal.F.24.WAGO
PTerm_FL_120_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.FL.120.PXC.PTerm_FL_120_PXC,Window_macros.General.Terminal.FL.120.PXC
PTerm_FL_120_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.FL.120.WAGO.PTerm_FL_120_WAGO,Window_macros.General.Terminal.FL.120.WAGO
PTerm_FL_24_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.FL.24.PXC.PTerm_FL_24_PXC,Window_macros.General.Terminal.FL.24.PXC
PTerm_FL_24_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.FL.24.WAGO.PTerm_FL_24_WAGO,Window_macros.General.Terminal.FL.24.WAGO
PTerm_FL_TE,Construction.ECAD.E104Macros.Window_macros.General.Terminal.FL.TE.PTerm_FL_TE,Window_macros.General.Terminal.FL.TE
PTerm_FLP_120_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.FLP.120.PXC.PTerm_FLP_120_PXC,Window_macros.General.Terminal.FLP.120.PXC
PTerm_FLP_24_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.FLP.24.PXC.PTerm_FLP_24_PXC,Window_macros.General.Terminal.FLP.24.PXC
PTerm_L_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.L.PXC.PTerm_L_PXC,Window_macros.General.Terminal.L.PXC
PTerm_L_TE,Construction.ECAD.E104Macros.Window_macros.General.Terminal.L.TE.PTerm_L_TE,Window_macros.General.Terminal.L.TE
PTerm_L_TE_temp,Construction.ECAD.E104Macros.Window_macros.General.Terminal.L.TE.PTerm_L_TE_temp,Window_macros.General.Terminal.L.TE
PTerm_L_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.L.WAGO.PTerm_L_WAGO,Window_macros.General.Terminal.L.WAGO
PTerm_LL_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LL.PXC.PTerm_LL_PXC,Window_macros.General.Terminal.LL.PXC
PTerm_LL_TE,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LL.TE.PTerm_LL_TE,Window_macros.General.Terminal.LL.TE
PTerm_LL_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LL.WAGO.PTerm_LL_WAGO,Window_macros.General.Terminal.LL.WAGO
PTerm_LLG_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LLG.PXC.PTerm_LLG_PXC,Window_macros.General.Terminal.LLG.PXC
PTerm_LLG_TE,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LLG.TE.PTerm_LLG_TE,Window_macros.General.Terminal.LLG.TE
PTerm_LLG_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LLG.WAGO.PTerm_LLG_WAGO,Window_macros.General.Terminal.LLG.WAGO
PTerm_LLL_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LLL.PXC.PTerm_LLL_PXC,Window_macros.General.Terminal.LLL.PXC
PTerm_LLL_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LLL.WAGO.PTerm_LLL_WAGO,Window_macros.General.Terminal.LLL.WAGO
PTerm_LLLG_PXC,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LLLG.PXC.PTerm_LLLG_PXC,Window_macros.General.Terminal.LLLG.PXC
PTerm_LLLP_WAGO,Construction.ECAD.E104Macros.Window_macros.General.Terminal.LLLP.WAGO.PTerm_LLLP_WAGO,Window_macros.General.Terminal.LLLP.WAGO
PTerm_T_TE,Construction.ECAD.E104Macros.Window_macros.General.Terminal.T.TE.PTerm_T_TE,Window_macros.General.Terminal.T.TE
Angle_DownLeft,Construction.ECAD.E104Macros.Window_macros.General.WireAngle.Angle_DownLeft,Window_macros.General.WireAngle
Angle_DownRight,Construction.ECAD.E104Macros.Window_macros.General.WireAngle.Angle_DownRight,Window_macros.General.WireAngle
Angle_DownRightInterP,Construction.ECAD.E104Macros.Window_macros.General.WireAngle.Angle_DownRightInterP,Window_macros.General.WireAngle
Angle_UpLeft,Construction.ECAD.E104Macros.Window_macros.General.WireAngle.Angle_UpLeft,Window_macros.General.WireAngle
Angle_UpRight,Construction.ECAD.E104Macros.Window_macros.General.WireAngle.Angle_UpRight,Window_macros.General.WireAngle
Angle_UpRightInterP,Construction.ECAD.E104Macros.Window_macros.General.WireAngle.Angle_UpRightInterP,Window_macros.General.WireAngle
Node_DoubleJunctDot,Construction.ECAD.E104Macros.Window_macros.General.WireNode.Node_DoubleJunctDot,Window_macros.General.WireNode
Node_TDownDot,Construction.ECAD.E104Macros.Window_macros.General.WireNode.Node_TDownDot,Window_macros.General.WireNode
Node_TLeftDot,Construction.ECAD.E104Macros.Window_macros.General.WireNode.Node_TLeftDot,Window_macros.General.WireNode
Node_TRightDot,Construction.ECAD.E104Macros.Window_macros.General.WireNode.Node_TRightDot,Window_macros.General.WireNode
Node_TUpDot,Construction.ECAD.E104Macros.Window_macros.General.WireNode.Node_TUpDot,Window_macros.General.WireNode
Channel_2Channel,Construction.ECAD.E104Macros.Window_macros.Page.Channel.Channel_2Channel,Window_macros.Page.Channel
Channel_Standard,Construction.ECAD.E104Macros.Window_macros.Page.Channel.Channel_Standard,Window_macros.Page.Channel
Channel_Top_Bottom,Construction.ECAD.E104Macros.Window_macros.Page.Channel.Channel_Top_Bottom,Window_macros.Page.Channel
DCable_1Channel,Construction.ECAD.E104Macros.Window_macros.Page.Channel.EndDeviceCable.DCable_1Channel,Window_macros.Page.Channel.EndDeviceCable
DCable_2Channel,Construction.ECAD.E104Macros.Window_macros.Page.Channel.EndDeviceCable.DCable_2Channel,Window_macros.Page.Channel.EndDeviceCable
